t,VRc,Cid
1.609465118927934e-002,4.462273,1
1.613569116051176e-002,4.331789,1
1.617824327970985e-002,4.268286,1
1.620151673097752e-002,4.279991,1
1.621870895134919e-002,4.319231,1
1.623565246455086e-002,4.38088,1
1.625671521105955e-002,4.481009,1
1.627593325082396e-002,4.590399,1
1.630715558455819e-002,4.779953,1
1.635730055380337e-002,5.019185,1
1.641966792475187e-002,5.128728,1
1.645372069467192e-002,5.058706,1
1.648461242026743e-002,4.91969,1
1.651819248568838e-002,4.757729,1
1.654935420836590e-002,4.612015,1
1.655032801219957e-002,4.607544,1
1.655227561986692e-002,4.598636,1
1.655617083520161e-002,4.580804,1
1.656396126587099e-002,4.545329,1
1.657616250878231e-002,4.490752,1
1.660056499460497e-002,4.390243,1
1.663835962418297e-002,4.27301,1
1.667930659688416e-002,4.213768,1
1.670280201823353e-002,4.226355,1
1.671967139374984e-002,4.265903,1
1.673681388696460e-002,4.330342,1
1.676008949090462e-002,4.44511,1
1.678142465970100e-002,4.570657,1
1.681604131339972e-002,4.780841,1
1.687135571342052e-002,5.012994,1
1.693639309440468e-002,5.056334,1
1.696671385488933e-002,4.967113,1
1.700852981928986e-002,4.769966,1
1.704331832909348e-002,4.607172,1
1.709330132722798e-002,4.389572,1
1.712323160613458e-002,4.277256,1
1.712859058297785e-002,4.262169,1
1.713930853666441e-002,4.241787,1
1.716074444403752e-002,4.227687,1
1.720361625878374e-002,4.265798,1
1.722028172050365e-002,4.309235,1
1.723755141671991e-002,4.383039,1
1.726036511939477e-002,4.505431,1
1.728187311321460e-002,4.639318,1
1.731676598567120e-002,4.85818,1
1.737249665091964e-002,5.090889,1
1.743905174798225e-002,5.121272,1
1.746867548153832e-002,5.027973,1
1.750854898365023e-002,4.837031,1
1.754376640165897e-002,4.671962,1
1.754456587916546e-002,4.668338,1
1.754616483417845e-002,4.661118,1
1.754936274420443e-002,4.646437,1
1.755575856425638e-002,4.616941,1
1.756814545721636e-002,4.560232,1
1.758305636152839e-002,4.493955,1
1.761287817015244e-002,4.376915,1
1.765328197298453e-002,4.272151,1
1.769533162759928e-002,4.242659,1
1.771409480852877e-002,4.267822,1
1.773001454589828e-002,4.315816,1
1.774517191219166e-002,4.378629,1
1.776320502397157e-002,4.471143,1
1.778649246918725e-002,4.608613,1
1.782422098286630e-002,4.825568,1
1.788418336897750e-002,5.033867,1
1.794750767395191e-002,5.011798,1
1.797760300127714e-002,4.902742,1
1.801416784665463e-002,4.735305,1
1.805435908409567e-002,4.57386,1
1.805508807654096e-002,4.571428,1
1.805654606143154e-002,4.567111,1
1.805946203121268e-002,4.55804,1
1.806529397077498e-002,4.538445,1
1.807695784989957e-002,4.495984,1
1.810028560814874e-002,4.413994,1
1.814694112464710e-002,4.294988,1
1.818879823889071e-002,4.259366,1
1.820925454664069e-002,4.283381,1
1.822452037031682e-002,4.327558,1
1.824269411359428e-002,4.40248,1
1.826228292542003e-002,4.503665,1
1.828499285620700e-002,4.639909,1
1.832180279984664e-002,4.857364,1
1.838040290261899e-002,5.066383,1
1.845243914251302e-002,5.04601,1
1.848501133363033e-002,4.929887,1
1.852410914408509e-002,4.752116,1
1.856909921700491e-002,4.577233,1
1.856980166987745e-002,4.57508,1
1.857401638711272e-002,4.563996,1
1.857963601009308e-002,4.548228,1
1.859087525605379e-002,4.515408,1
1.861335374797522e-002,4.457001,1
1.865831073181808e-002,4.385874,1
1.869481619140370e-002,4.385909,1
1.871371164532949e-002,4.419933,1
1.872953803056178e-002,4.471139,1
1.874506559427834e-002,4.537331,1
1.876316547615663e-002,4.630448,1
1.878642815797111e-002,4.765291,1
1.882411731941292e-002,4.972291,1
1.888402151742596e-002,5.167827,1
1.893937545097848e-002,5.143343,1
