time	V(n001)-V(n005)	V(n003)	V(n004)
3.308114267806367e-003	-3.981368e+000	-6.916800e+000	2.738768e+000
3.317879892806367e-003	-4.648169e+000	-7.648302e+000	3.394165e+000
3.327645517806367e-003	-5.279295e+000	-8.263296e+000	4.016467e+000
3.337411142806367e-003	-5.855386e+000	-8.753453e+000	4.585625e+000
3.347176767806367e-003	-6.360812e+000	-9.112035e+000	5.085638e+000
3.356942392806366e-003	-6.783125e+000	-9.334084e+000	5.503822e+000
3.366708017806366e-003	-7.116144e+000	-9.421385e+000	5.833800e+000
3.375133881969539e-003	-7.325411e+000	-9.386227e+000	6.041246e+000
3.382718002452246e-003	-7.439831e+000	-9.255632e+000	6.154699e+000
3.392483627452246e-003	-7.489035e+000	-8.962319e+000	6.203491e+000
3.402249252452245e-003	-7.435090e+000	-8.543269e+000	6.149996e+000
3.412014877452245e-003	-7.272182e+000	-7.997042e+000	5.988477e+000
3.421780502452245e-003	-7.002255e+000	-7.331874e+000	5.720938e+000
3.431546127452245e-003	-6.628964e+000	-6.557779e+000	5.351141e+000
3.441311752452245e-003	-6.157568e+000	-5.686396e+000	4.884525e+000
3.451077377452244e-003	-5.594795e+000	-4.730817e+000	4.328106e+000
3.460843002452244e-003	-4.948659e+000	-3.705388e+000	3.690390e+000
3.470608627452244e-003	-4.228183e+000	-2.625493e+000	2.981291e+000
3.480374252452244e-003	-3.442670e+000	-1.507300e+000	2.212172e+000
3.490139877452243e-003	-2.599069e+000	-3.674670e-001	1.396381e+000
3.499905502452243e-003	-1.269394e+000	7.835459e-001	6.300849e-001
3.509671127452243e-003	4.253311e-001	1.939807e+000	2.313026e-001
3.519436752452243e-003	1.490949e+000	3.079165e+000	3.885997e-001
3.529202377452243e-003	2.044849e+000	4.167689e+000	8.670013e-001
3.538968002452242e-003	2.658100e+000	5.183344e+000	1.450296e+000
3.548733627452242e-003	3.322676e+000	6.113934e+000	2.094592e+000
