time	V(vin)	V(vout)	I(L1)
2.016952174303281e-002	5.000000e+000	2.586133e+000	-1.617937e-003
2.019881861803281e-002	5.000000e+000	3.030514e+000	-1.415705e-003
2.022811549303281e-002	5.000000e+000	3.414639e+000	-1.206595e-003
2.025741236803281e-002	5.000000e+000	3.738949e+000	-1.007361e-003
2.028670924303281e-002	5.000000e+000	4.007644e+000	-8.269291e-004
2.031600611803281e-002	5.000000e+000	4.226798e+000	-6.691627e-004
2.034530299303282e-002	5.000000e+000	4.403156e+000	-5.347731e-004
2.037459986803282e-002	5.000000e+000	4.543400e+000	-4.226232e-004
2.040389674303282e-002	5.000000e+000	4.653734e+000	-3.305947e-004
2.043319361803282e-002	5.000000e+000	4.739683e+000	-2.561473e-004
2.046249049303282e-002	5.000000e+000	4.806013e+000	-1.966680e-004
2.049178736803282e-002	5.000000e+000	4.856747e+000	-1.496743e-004
2.052108424303282e-002	5.000000e+000	4.895213e+000	-1.129223e-004
2.055038111803282e-002	5.000000e+000	4.924126e+000	-8.445281e-005
2.057967799303282e-002	5.000000e+000	4.945666e+000	-6.259881e-005
2.060897486803283e-002	5.000000e+000	4.961570e+000	-4.597026e-005
2.063827174303283e-002	5.000000e+000	4.973200e+000	-3.342739e-005
2.066756861803283e-002	5.000000e+000	4.981620e+000	-2.404874e-005
2.069686549303283e-002	5.000000e+000	4.987647e+000	-1.709851e-005
2.072616236803283e-002	5.000000e+000	4.991909e+000	-1.199569e-005
2.075545924303283e-002	5.000000e+000	4.994880e+000	-8.286052e-006
2.078475611803283e-002	5.000000e+000	4.996917e+000	-5.617931e-006
2.081405299303283e-002	5.000000e+000	4.998285e+000	-3.721477e-006
2.084334986803283e-002	5.000000e+000	4.999180e+000	-2.391448e-006
2.087264674303284e-002	5.000000e+000	4.999746e+000	-1.473095e-006
2.090194361803284e-002	5.000000e+000	5.000089e+000	-8.482623e-007
2.092957300260684e-002	5.000000e+000	5.000274e+000	-4.482974e-007
2.095160396180086e-002	5.000000e+000	5.000354e+000	-2.291466e-007
2.096979191998058e-002	5.000000e+000	5.000387e+000	-1.007613e-007
2.098422425863610e-002	5.000000e+000	5.000397e+000	-2.483897e-008
2.099605899567285e-002	5.000000e+000	5.000397e+000	2.316121e-008
2.100706815926783e-002	5.000000e+000	5.000392e+000	5.715549e-008
2.102609581912434e-002	5.000000e+000	5.000376e+000	9.957971e-008
2.104629084160894e-002	5.000000e+000	5.000353e+000	1.282482e-007
2.107279981990183e-002	5.000000e+000	5.000316e+000	1.464915e-007
2.109888118082416e-002	5.000000e+000	5.000278e+000	1.502006e-007
2.112817805582416e-002	5.000000e+000	5.000235e+000	1.432455e-007
2.115747493082416e-002	5.000000e+000	5.000195e+000	1.300502e-007
2.124536555582416e-002	5.000000e+000	5.000102e+000	8.118089e-008
2.130395930582417e-002	5.000000e+000	5.000062e+000	5.398200e-008
2.136255305582417e-002	5.000000e+000	5.000037e+000	3.412084e-008
2.142114680582417e-002	5.000000e+000	5.000021e+000	2.069445e-008
2.150903743082417e-002	5.000000e+000	5.000009e+000	9.131745e-009
2.156740874468509e-002	5.000000e+000	5.000005e+000	6.007162e-009
2.162578005854601e-002	5.000000e+000	5.000003e+000	3.491012e-009
2.168415137240693e-002	5.000000e+000	5.000001e+000	1.583295e-009
2.174252268626784e-002	5.000000e+000	5.000000e+000	2.840124e-010
2.180089400012876e-002	5.000000e+000	4.999999e+000	-4.068368e-010
2.185926531398968e-002	5.000000e+000	4.999999e+000	-4.892523e-010
2.191763662785060e-002	5.000000e+000	5.000000e+000	3.676573e-011
2.500000100220000e-002	4.989000e+000	5.000000e+000	4.326652e-013
2.500000114474286e-002	4.276286e+000	5.000000e+000	7.197360e-010
2.500000128728572e-002	3.563572e+000	5.000000e+000	2.392106e-009
2.500000142982857e-002	2.850857e+000	5.000000e+000	5.017543e-009
